age,gender,race,date,city,state,manner_of_death,mental_illness
12,Male,Black,2002-12-24,Uniontown,PA,Shot,false
17,Male,Black,2003-01-01,New York,NY,Shot,false
23,Male,Black,2003-01-20,Henderson,NC,Shot,false
24,Male,Black,2003-01-23,Princeton,NJ,Shot,true
63,Male,Black,2003-01-25,Compton,CA,Shot,false
25,Male,Black,2003-01-28,Compton,CA,Shot,false
23,Male,Black,2003-01-28,Compton,CA,Shot,false
39,Female,Black,2003-02-01,Los Angeles,CA,Shot,false
35,Male,Black,2003-02-02,DeKalb,GA,Shot,true
35,Male,Black,2003-02-11,Long Beach,CA,Shot,false
34,Male,Black,2003-02-18,Los Angeles,CA,Shot,false
25,Male,Black,2003-02-20,Alexandria,LA,Shot,false
21,Male,Black,2003-02-22,Rialto,CA,Shot,false
28,Male,Black,2003-02-28,Las Vegas,NV,Shot,false
21,Male,Black,2003-03-02,Milwaukee,WI,Shot,false
23,Male,Black,2003-03-07,Hartford,CT,Shot,false
23,Male,Black,2003-03-08,Chicago,IL,Shot,false
27,Male,Black,2003-03-10,Hialeah,FL,Shot,false
25,Male,Black,2003-03-15,Shreveport,LA,Shot,false
28,Male,Black,2003-03-25,Brooklyn Park,MN,Shot,false
27,Male,Black,2003-04-04,Compton,CA,Shot,false
40,Male,Black,2003-04-17,Modesto,CA,Shot,false
23,Male,Black,2003-04-20,Bushnell,FL,Shot,false
23,Female,Black,2003-04-26,Washington,DC,Shot,false
21,Female,Black,2003-05-05,Portland,OR,Shot,true
31,Male,Black,2003-05-07,Minneapolis,MN,Shot,false
43,Male,Black,2003-05-22,New York,NY,Shot,false
,Male,Black,2003-05-27,Riverside,CA,Shot,false
32,Male,Black,2003-05-29,Chattanooga,TN,Shot,false
33,Male,Black,2003-06-01,Dallas,TX,Shot,false
16,Male,Black,2003-06-12,Richmond,CA,Shot,false
20,Male,Black,2003-06-14,Austin,TX,Shot,false
64,Male,Black,2003-06-16,Ensley,FL,Shot,false
42,Female,Black,2003-06-29,North Miami Beach,FL,Shot,false
22,Male,Black,2003-07-06,Las Vegas,NV,Shot,false
31,Male,Black,2003-07-23,New York,NY,Shot,false
38,Male,Black,2003-07-24,Dallas,TX,Shot,false
28,Male,Black,2003-07-25,Berkeley,CA,Shot,false
22,Male,Black,2003-07-30,Las Vegas,NV,Shot,false
25,Male,Black,2003-07-31,Tyler,TX,Shot,false
47,Male,Black,2003-08-06,Oakland,CA,Shot,true
24,Male,Black,2003-08-24,Compton,CA,Shot,false
23,Male,Black,2003-08-28,Houston,TX,Shot,false
30,Male,Black,2003-09-07,Rayne,LA,Shot,false
21,Male,Black,2003-09-08,Las Vegas,NV,Shot,false
21,Male,Black,2003-09-11,Omaha,NE,Shot,false
23,Male,Black,2003-09-13,Chicago,IL,Shot,false
20,Male,Black,2003-09-17,North Hills,CA,Shot,false
19,Male,Black,2003-09-17,North Hills,CA,Shot,false
37,Male,Black,2003-09-19,NYC,NY,Shot,false
16,Male,Black,2003-09-22,Harbor City,CA,Shot,false
20,Male,Black,2003-10-05,Oakland,CA,Shot,false
21,Male,Black,2003-10-10,Minneapolis,MN,Shot,false
32,Male,Black,2003-10-16,Amite City,LA,Shot,false
26,Female,Black,2003-10-22,Culver City,CA,Shot,false
23,Male,Black,2003-10-26,Fresno,CA,Shot,false
41,Male,Black,2003-11-07,North Charleston,SC,Shot,true
,Male,Black,2003-11-12,New Orleans,LA,Shot,false
37,Male,Black,2003-12-01,Shreveport,LA,Shot,false
39,Male,Black,2003-12-10,Columbus,GA,Shot,false
32,Male,Black,2003-12-16,Las Vegas,NV,Shot,false
,Male,Black,2003-12-27,Houston,TX,Shot,false
22,Male,Black,2003-12-27,Saint Paul,MN,Shot,false
48,Female,Black,2004-01-03,Dallas,TX,Shot,true
