Stagione	Campionato	Campionato_sigla	Giornata	Data	CoT	Squadra	Numero	Avversario	Avversario_sigla	Risultato_finale	PoNo	Minuto_1	Risultato_parziale_1	Modo_1	Assist_1	Minuto_2	Risultato_parziale_2	Modo_2	Assist_2	Minuto_3	Risultato_parziale_3	Modo_3	Assist_3	Minuto_4	Risultato_parziale_4	Modo_4	Assist_4	N_goals
Stagione 16/17	Serie A	Serie A	25	18/02/2017	T	SS Lazio	(6.)	Empoli FC 	Empoli  (17.)	01:02	P	68'	01:01	Destro														1
Stagione 16/17	Serie A	Serie A	26	26/02/2017	C	SS Lazio	(6.)	Udinese Calcio	Udinese  (13.)	01:00	P	73'	01:00	Rigore														1
Stagione 16/17	Coppa Italia	Coppa Italia	Semifinale	01/03/2017	C	SS Lazio		AS Roma	Roma	02:00	P	78'	02:00	Destro	Keita Balde													1
Stagione 16/17	Serie A	Serie A	27	05/03/2017	T	SS Lazio	(5.)	Bologna FC	Bologna  (15.)	00:02	P	9'	00:01	Colpo di testa	Senad Lulic	75'	00:02	Destro	Sergej Milinkovic-Savic									2
Stagione 16/17	Serie A	Serie A	28	13/03/2017	C	SS Lazio	(4.)	Torino FC	Torino  (9.)	03:01	P	56'	01:00	Destro														1
Stagione 16/17	Serie A	Serie A	30	01/04/2017	T	SS Lazio	(4.)	US Sassuolo	Sassuolo  (15.)	01:02	P	42'	01:01	Sinistro	Felipe Anderson													1
Stagione 16/17	Coppa Italia	Coppa Italia	Semifinale	04/04/2017	T	SS Lazio		AS Roma	Roma	03:02	P	56'	01:02	Destro	Sergej Milinkovic-Savic													1
Stagione 16/17	Serie A	Serie A	33	23/04/2017	C	SS Lazio	(4.)	US Citta  di Palermo	Palermo  (19.)	06:02	P	8'	01:00	Colpo di testa	Stefan de Vrij	10'	02:00	Destro	Sergej Milinkovic-Savic									2
Stagione 16/17	Serie A	Serie A	35	07/05/2017	C	SS Lazio	(4.)	UC Sampdoria	Sampdoria  (10.)	07:03	P	19'	02:00	Rigore		70'	07:01	Destro	Keita Balde									2
Stagione 16/17	Serie A	Serie A	38	28/05/2017	T	SS Lazio	(4.)	FC Crotone	Crotone  (18.)	03:01	P	26'	02:01	Rigore														1
Stagione 17/18	Supercoppa Italiana	Supercoppa Italiana	Finale	13/08/2017	T	SS Lazio		Juventus FC	Juventus	02:03	P	32'	00:01	Rigore		54'	00:02	Colpo di testa	Marco Parolo									1
